TOP.69e8768f.0002cca4	START
TOP.69e8768f.0002cca4	folder_config->cwd	C:\Users\Student\Desktop\hashcatui\hashcat
TOP.69e8768f.0002cca4	folder_config->install_dir	.
TOP.69e8768f.0002cca4	folder_config->profile_dir	.
TOP.69e8768f.0002cca4	folder_config->session_dir	.
TOP.69e8768f.0002cca4	folder_config->shared_dir	.
TOP.69e8768f.0002cca4	user_options->encoding_from	utf-8
TOP.69e8768f.0002cca4	user_options->encoding_to	utf-8
TOP.69e8768f.0002cca4	user_options->potfile_path	C:\Users\Student\Desktop\hashcatui\hashcat.potfile
TOP.69e8768f.0002cca4	user_options->rule_buf_l	:
TOP.69e8768f.0002cca4	user_options->rule_buf_r	:
TOP.69e8768f.0002cca4	user_options->session	job_7b5cddd05f
TOP.69e8768f.0002cca4	user_options->separator	:
TOP.69e8768f.0002cca4	user_options->limit	0
TOP.69e8768f.0002cca4	user_options->skip	0
TOP.69e8768f.0002cca4	user_options->attack_mode	0
TOP.69e8768f.0002cca4	user_options->backend_devices_virtmulti	1
TOP.69e8768f.0002cca4	user_options->backend_devices_virthost	1
TOP.69e8768f.0002cca4	user_options->backend_devices_keepfree	0
TOP.69e8768f.0002cca4	user_options->benchmark	0
TOP.69e8768f.0002cca4	user_options->benchmark_all	0
TOP.69e8768f.0002cca4	user_options->benchmark_max	99999
TOP.69e8768f.0002cca4	user_options->benchmark_min	0
TOP.69e8768f.0002cca4	user_options->bitmap_max	18
TOP.69e8768f.0002cca4	user_options->bitmap_min	16
TOP.69e8768f.0002cca4	user_options->debug_mode	0
TOP.69e8768f.0002cca4	user_options->dynamic_x	0
TOP.69e8768f.0002cca4	user_options->hash_info	0
TOP.69e8768f.0002cca4	user_options->force	0
TOP.69e8768f.0002cca4	user_options->hwmon	1
TOP.69e8768f.0002cca4	user_options->hwmon_temp_abort	90
TOP.69e8768f.0002cca4	user_options->hash_mode	1700
TOP.69e8768f.0002cca4	user_options->hex_charset	0
TOP.69e8768f.0002cca4	user_options->hex_salt	0
TOP.69e8768f.0002cca4	user_options->hex_wordlist	0
TOP.69e8768f.0002cca4	user_options->hook_threads	20
TOP.69e8768f.0002cca4	user_options->identify	0
TOP.69e8768f.0002cca4	user_options->increment	0
TOP.69e8768f.0002cca4	user_options->increment_max	256
TOP.69e8768f.0002cca4	user_options->increment_min	1
TOP.69e8768f.0002cca4	user_options->keep_guessing	0
TOP.69e8768f.0002cca4	user_options->kernel_accel	0
TOP.69e8768f.0002cca4	user_options->kernel_loops	0
TOP.69e8768f.0002cca4	user_options->kernel_threads	0
TOP.69e8768f.0002cca4	user_options->keyspace	0
TOP.69e8768f.0002cca4	user_options->total_candidates	0
TOP.69e8768f.0002cca4	user_options->left	0
TOP.69e8768f.0002cca4	user_options->logfile	1
TOP.69e8768f.0002cca4	user_options->loopback	0
TOP.69e8768f.0002cca4	user_options->machine_readable	0
TOP.69e8768f.0002cca4	user_options->markov_classic	0
TOP.69e8768f.0002cca4	user_options->markov	1
TOP.69e8768f.0002cca4	user_options->markov_inverse	0
TOP.69e8768f.0002cca4	user_options->markov_threshold	256
